lat,lon
52.367286,4.928539
52.367284,4.928215
52.367295,4.929115
52.367276,4.927944
52.388986,4.902553
52.388889,4.902612
52.388733,4.902696
52.388532,4.903002
52.388574,4.902767
52.388906,4.902958
52.367866,4.958245
52.367336,4.95829
52.367146,4.958392
52.367098,4.959072
52.367044,4.958778
52.367017,4.958487
52.367126,4.959327
52.343002,4.788111
52.342874,4.788448
52.34275,4.788761
52.342603,4.789132
52.371432,4.951286
52.371447,4.951133
52.371457,4.950911
52.371419,4.950558
52.371346,4.950447
52.371367,4.9502
52.371381,4.950784
52.371344,4.950092
52.371286,4.94991
52.349277,4.912366
52.349105,4.91244
52.34888,4.912534
52.372419,4.940292
52.372375,4.939868
52.376181,4.927789
52.376229,4.927797
52.376215,4.92842
52.376162,4.928418
52.375962,4.929036
52.376122,4.928275
52.369462,4.882782
52.369134,4.882492
52.374619,4.939966
52.3745,4.940253
52.374259,4.939026
52.374548,4.938961
52.344391,4.784816
52.344222,4.785159
52.344065,4.785621
52.348651,4.910712
52.348536,4.910823
52.402417,4.900475
52.402218,4.900343
52.40207,4.900204
52.401894,4.900025
52.37678,4.976937
52.37692,4.976706
52.352269,4.908746
52.352266,4.908864
52.352108,4.908832
52.351895,4.908989
52.352126,4.908956
52.352112,4.908901
52.388163,4.93858
52.388025,4.938503
52.387787,4.938396
52.387624,4.938323
52.387426,4.938248
52.387245,4.938171
52.373693,4.907457
52.373943,4.907749
52.373966,4.907593
52.37395,4.907509
52.374045,4.90771
52.373933,4.907427
52.366256,4.871054
52.366056,4.871193
52.367906,4.897324
52.367772,4.897243
52.376604,4.884983
52.376431,4.884825
52.376407,4.884533
52.376953,4.884997
52.36384,4.898963
52.364105,4.867783
52.364012,4.86742
52.36394,4.867082
52.336771,4.906475
52.336546,4.906381
52.33628,4.906322
52.387949,4.890558
52.387478,4.890734
52.38746,4.890799
52.387706,4.890746
52.338756,4.908063
52.338636,4.907728
52.338052,4.909145
52.337963,4.908934
52.337849,4.908655
52.332624,4.853284
52.332638,4.852785
52.388629,4.890412
52.388154,4.890589
52.426461,4.86014
52.426336,4.860034
52.426205,4.859876
52.426058,4.859717
52.425922,4.859566
52.425762,4.859387
52.425647,4.859269
52.334114,4.915202
52.380375,4.868028
52.380287,4.868249
52.359972,4.903615
52.359836,4.903687
52.359643,4.903778
52.359459,4.903873
52.359299,4.903964
52.359088,4.903774
52.411205,4.903169
52.411109,4.90332
52.410968,4.903513
52.410877,4.903625
52.369543,4.91151
52.369425,4.911807
52.332763,4.804158
52.332636,4.804417
52.332546,4.804651
52.372001,4.872452
52.371862,4.872361
52.371643,4.872234
52.33227,4.805269
52.332166,4.805583
52.332035,4.805887
52.331896,4.806218
52.370555,4.943349
52.370557,4.943477
52.370531,4.943123
52.370519,4.942776
52.370502,4.942418
52.370487,4.942648
52.37042,4.942305
52.370399,4.942087
52.340376,4.847215
52.340343,4.846361
52.340179,4.84635
52.340211,4.847204
52.34015,4.847611
52.340072,4.847191
52.33999,4.846343
52.339986,4.847611
52.33994,4.847182
52.339816,4.847603
52.339809,4.846373
52.339767,4.84718
52.33964,4.846367
52.339655,4.847602
52.339536,4.84759
52.339515,4.846497
52.339593,4.84713
